iter	Passed	Remaining
1074	48604	41822
1075	48637	41766
1076	48671	41712
1077	48715	41665
1078	48750	41612
1079	48786	41559
1080	48823	41506
1081	48856	41451
1082	48892	41398
1083	48935	41351
1084	48975	41301
1085	49012	41249
1086	49054	41201
1087	49090	41149
1088	49119	41090
1089	49148	41032
1090	49194	40987
1091	49239	40942
1092	49281	40894
1093	49317	40842
1094	49349	40786
1095	49389	40737
1096	49422	40682
1097	49466	40636
1098	49502	40583
1099	49540	40533
1100	49575	40479
1101	49602	40420
1102	49637	40367
1103	49677	40317
1104	49718	40269
1105	49750	40213
1106	49778	40155
1107	49820	40108
1108	49860	40059
1109	49899	40009
1110	49945	39965
1111	49983	39914
1112	50032	39873
1113	50077	39828
1114	50116	39778
1115	50158	39731
1116	50199	39683
1117	50234	39630
1118	50270	39578
1119	50309	39528
1120	50350	39481
1121	50388	39430
1122	50429	39382
1123	50470	39335
1124	50513	39288
1125	50554	39240
1126	50590	39188
1127	50627	39137
1128	50666	39088
1129	50701	39035
1130	50737	38983
1131	50774	38933
1132	50819	38888
1133	50863	38843
1134	50988	38858
1135	51060	38834
1136	51101	38786
1137	51155	38748
1138	51191	38697
1139	51234	38650
1140	51273	38601
1141	51311	38551
1142	51359	38508
1143	51395	38456
1144	51442	38413
1145	51487	38368
1146	51524	38317
1147	51559	38265
1148	51595	38213
1149	51629	38161
1150	51671	38113
1151	51709	38063
1152	51748	38014
1153	51781	37960
1154	51818	37910
1155	51863	37865
1156	51905	37818
1157	51948	37772
1158	51989	37724
1159	52034	37679
1160	52067	37626
1161	52108	37579
1162	52143	37526
1163	52181	37477
1164	52222	37429
1165	52257	37378
1166	52294	37327
1167	52331	37277
1168	52368	37226
1169	52399	37172
1170	52442	37125
1171	52484	37079
1172	52521	37029
1173	52560	36980
1174	52594	36927
1175	52634	36880
1176	52674	36831
1177	52708	36779
1178	52748	36731
1179	52785	36681
1180	52822	36631
1181	52859	36581
1182	52959	36574
1183	52999	36526
1184	53041	36479
1185	53079	36430
1186	53119	36382
1187	53158	36334
1188	53200	36287
1189	53232	36233
1190	53271	36185
1191	53311	36137
1192	53354	36091
1193	53397	36045
1194	53435	35996
1195	53468	35943
1196	53509	35896
